time,open,high,low,close,volumeto,coin
2022-09-01,31.49,31.78,30.44,31.6,103469678.71,solana
2022-09-02,31.6,32.38,30.77,31.24,102876754.83,solana
2022-09-03,31.24,31.28,30.81,31.11,43985812.65,solana
2022-09-04,31.11,32.19,31.03,32.16,48180064.49,solana
2022-09-05,32.16,32.52,31.15,32.17,73067891.67,solana
2022-09-06,32.17,33.86,30.46,30.89,160351106.14,solana
2022-09-07,30.89,32.93,30.32,32.7,93795738.14,solana
2022-09-08,32.7,34.0,32.02,33.61,123624669.28,solana
2022-09-09,33.61,35.95,33.6,34.69,156168243.64,solana
2022-09-10,34.69,35.42,34.29,35.06,78218895.05,solana
2022-09-11,35.06,35.99,34.08,35.01,83218801.56,solana
2022-09-12,35.01,38.37,34.42,37.46,219096567.62,solana
2022-09-13,37.46,38.96,32.94,32.99,253425976.59,solana
2022-09-14,32.99,34.34,32.71,34.12,115641784.43,solana
2022-09-15,34.12,34.86,32.29,33.07,137513600.73,solana
2022-09-16,33.07,33.25,31.54,32.24,98331233.71,solana
2022-09-17,32.24,33.89,32.22,33.69,51363020.95,solana
2022-09-18,33.69,33.99,30.87,31.1,80104426.78,solana
2022-09-19,31.1,33.08,30.62,32.63,119188318.55,solana
2022-09-20,32.63,32.88,31.31,31.42,98876571.52,solana
2022-09-21,31.42,33.44,30.04,30.69,152551276.63,solana
2022-09-22,30.69,32.86,30.59,32.42,94693547.16,solana
2022-09-23,32.42,33.96,31.21,33.66,130865368.39,solana
2022-09-24,33.66,34.76,33.15,33.39,105668825.25,solana
2022-09-25,33.39,34.03,31.9,32.33,77442617.91,solana
2022-09-26,32.33,33.95,31.88,33.88,113731647.43,solana
2022-09-27,33.88,35.41,32.08,32.68,168284505.46,solana
2022-09-28,32.68,33.8,31.64,33.23,136071610.73,solana
2022-09-29,33.23,34.41,32.65,33.93,128703506.89,solana
2022-09-30,33.93,35.2,32.62,33.25,167114766.6,solana
2022-10-01,33.25,33.25,32.37,32.44,54787029.64,solana
2022-10-02,32.44,33.02,31.91,32.06,63915516.93,solana
2022-10-03,32.06,33.26,31.8,32.9,82662371.08,solana
2022-10-04,32.9,34.4,32.84,34.11,106666122.8,solana
2022-10-05,34.11,34.38,33.21,34.05,89455930.04,solana
2022-10-06,34.05,34.5,33.27,33.36,103191911.43,solana
2022-10-07,33.36,33.77,32.43,32.99,79629364.29,solana
2022-10-08,32.99,33.07,32.37,32.59,37351525.86,solana
2022-10-09,32.59,33.13,32.45,32.93,35794479.47,solana
2022-10-10,32.93,33.45,31.93,31.95,68563253.02,solana
2022-10-11,31.95,31.95,30.42,30.79,90282318.3,solana
2022-10-12,30.79,31.54,30.67,31.16,51030227.9,solana
2022-10-13,31.16,31.2,27.75,30.51,180508671.84,solana
2022-10-14,30.51,31.98,29.64,30.0,102282805.83,solana
2022-10-15,30.0,30.2,29.45,29.59,40028658.72,solana
2022-10-16,29.59,30.52,29.56,30.16,36049242.58,solana
2022-10-17,30.16,31.29,29.84,31.21,64398693.25,solana
2022-10-18,31.21,31.48,29.74,30.14,78873536.13,solana
2022-10-19,30.14,30.26,28.62,28.85,75947010.64,solana
2022-10-20,28.85,29.47,27.97,28.01,102495803.99,solana
2022-10-21,28.01,28.28,26.84,28.1,118698104.26,solana
2022-10-22,28.1,28.22,27.49,28.01,43241858.58,solana
2022-10-23,28.01,29.42,27.74,29.28,67687355.81,solana
2022-10-24,29.28,29.49,28.17,28.3,69996386.08,solana
2022-10-25,28.3,32.35,28.06,30.88,207759844.54,solana
2022-10-26,30.88,32.12,30.65,31.29,130320344.36,solana
2022-10-27,31.29,32.36,30.47,30.58,156220713.95,solana
2022-10-28,30.58,32.55,30.12,32.07,120576731.07,solana
2022-10-29,32.07,33.84,31.87,32.88,121589101.36,solana
2022-10-30,32.88,33.54,31.95,32.94,77502854.75,solana
2022-10-31,32.94,34.39,32.21,32.56,152536616.24,solana
2022-11-01,32.56,33.39,32.16,32.2,79466574.35,solana
2022-11-02,32.2,32.93,30.23,30.81,140973726.46,solana
2022-11-03,30.81,32.24,30.61,30.85,86575228.07,solana
2022-11-04,30.85,34.21,30.66,33.74,155256328.39,solana
2022-11-05,33.74,38.74,33.67,36.89,250593258.95,solana
2022-11-06,36.89,37.05,32.34,32.62,181830879.84,solana
2022-11-07,32.62,33.12,28.15,29.62,289915425.99,solana
2022-11-08,29.62,31.63,21.5,24.02,717915107.17,solana
2022-11-09,24.02,24.03,12.08,14.17,555865153.48,solana
2022-11-10,14.17,19.08,12.9,17.6,249540059.42,solana
2022-11-11,17.6,18.25,15.15,16.35,123926031.06,solana
2022-11-12,16.35,16.38,14.44,14.55,54678113.91,solana
2022-11-13,14.55,14.71,13.02,13.17,57772641.2,solana
2022-11-14,13.17,14.98,12.21,13.98,83899085.54,solana
2022-11-15,13.98,15.09,13.8,14.29,64156093.29,solana
2022-11-16,14.29,14.6,13.62,14.27,38727592.57,solana
2022-11-17,14.27,14.51,12.92,13.64,61958318.27,solana
2022-11-18,13.64,13.87,12.98,13.25,33792970.47,solana
2022-11-19,13.25,13.26,12.58,12.82,24417246.24,solana
2022-11-20,12.82,13.57,12.11,12.26,35433118.28,solana
2022-11-21,12.26,12.27,11.26,11.83,47854445.4,solana
2022-11-22,11.83,12.5,10.94,12.43,54701419.1,solana
2022-11-23,12.43,14.46,12.39,14.34,93973604.3,solana
2022-11-24,14.34,14.93,13.84,14.59,61982386.71,solana
2022-11-25,14.59,14.6,13.89,14.01,37739863.17,solana
2022-11-26,14.01,14.95,13.96,14.17,36216173.22,solana
2022-11-27,14.17,14.44,14.05,14.1,30027758.0,solana
2022-11-28,14.1,14.17,12.78,13.33,62750014.75,solana
2022-11-29,13.33,13.95,13.15,13.34,31363869.47,solana
2022-11-30,13.34,14.32,13.23,14.15,47469116.41,solana
2022-12-01,14.15,14.19,13.4,13.52,27422681.56,solana
2022-12-02,13.52,13.81,13.33,13.72,21385441.19,solana
2022-12-03,13.72,13.77,13.22,13.3,12239592.3,solana
2022-12-04,13.3,13.75,13.27,13.71,11675208.22,solana
2022-12-05,13.71,14.16,13.59,13.82,29846705.68,solana
2022-12-06,13.82,14.38,13.81,14.29,30305143.44,solana
2022-12-07,14.29,14.33,13.44,13.5,26116040.18,solana
2022-12-08,13.5,13.78,13.27,13.69,16957456.6,solana
2022-12-09,13.69,14.02,13.5,13.58,18278947.39,solana
2022-12-10,13.58,13.72,13.54,13.57,7508134.58,solana
2022-12-11,13.57,13.8,13.39,13.43,11264259.85,solana
2022-12-12,13.43,13.48,12.84,13.32,27460840.38,solana
2022-12-13,13.32,14.15,12.78,13.89,40623255.94,solana
2022-12-14,13.89,14.95,13.81,14.12,60116655.72,solana
2022-12-15,14.12,14.52,13.87,14.04,35398562.27,solana
2022-12-16,14.04,14.17,11.99,12.24,59840757.78,solana
2022-12-17,12.24,12.55,11.94,12.51,36585840.77,solana
2022-12-18,12.51,12.61,12.27,12.37,17405774.17,solana
2022-12-19,12.37,12.59,11.67,11.94,36302121.49,solana
2022-12-20,11.94,12.48,11.83,12.26,30150553.59,solana
2022-12-21,12.26,12.29,11.9,12.14,23617186.61,solana
2022-12-22,12.14,12.19,11.67,11.81,31955868.04,solana
2022-12-23,11.81,12.11,11.72,11.78,23013552.95,solana
2022-12-24,11.78,11.79,11.12,11.45,34388581.88,solana
2022-12-25,11.45,11.55,11.24,11.39,11527341.31,solana
2022-12-26,11.39,11.49,11.06,11.33,18413287.33,solana
2022-12-27,11.33,11.44,10.72,11.09,29534617.34,solana
2022-12-28,11.09,11.12,9.421,9.759,83126895.43,solana
2022-12-29,9.759,10.82,8.028,9.641,105345615.42,solana
2022-12-30,9.641,10.23,9.03,9.909,124730002.5,solana
2022-12-31,9.909,10.18,9.659,9.952,39797226.05,solana
2023-01-01,9.952,10.08,9.7,9.99,36647102.13,solana
2023-01-02,9.99,11.97,9.791,11.28,76282642.73,solana
2023-01-03,11.28,13.8,11.01,13.39,129021571.79,solana
2023-01-04,13.39,14.22,12.82,13.44,142824278.08,solana
2023-01-05,13.44,13.86,12.95,13.43,65885387.04,solana
2023-01-06,13.43,13.59,12.69,13.5,67070233.93,solana
2023-01-07,13.5,13.5,13.01,13.1,25215262.79,solana
